,car type,price
0,"VW UP!
oder ähnlich | Sedan
inkl. unbegrenzt km
€64,49 | Tag","VW UP!
oder ähnlich | Sedan
inkl. unbegrenzt km
€64,49 | Tag"
1,"VW POLO
oder ähnlich | Sedan
inkl. unbegrenzt km
€65,48 | Tag","VW POLO
oder ähnlich | Sedan
inkl. unbegrenzt km
€65,48 | Tag"
2,"OPEL CROSSLAND X
oder ähnlich | Sedan
inkl. unbegrenzt km
€72,99 | Tag","OPEL CROSSLAND X
oder ähnlich | Sedan
inkl. unbegrenzt km
€72,99 | Tag"
3,"SEAT LEON
oder ähnlich | Sedan
inkl. unbegrenzt km
€73,99 | Tag","SEAT LEON
oder ähnlich | Sedan
inkl. unbegrenzt km
€73,99 | Tag"
4,"VW GOLF
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€78,48 | Tag","VW GOLF
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€78,48 | Tag"
5,"SKODA OCTAVIA COMBI
oder ähnlich | Station wagon
inkl. unbegrenzt km
€79,99 | Tag","SKODA OCTAVIA COMBI
oder ähnlich | Station wagon
inkl. unbegrenzt km
€79,99 | Tag"
6,"VW GOLF AUT.
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€83,99 | Tag","VW GOLF AUT.
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€83,99 | Tag"
7,"BMW 1ER
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€84,99 | Tag","BMW 1ER
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€84,99 | Tag"
8,"SKODA OCTAVIA COMBI AUT.
oder ähnlich | Station wagon
inkl. unbegrenzt km
€85,49 | Tag","SKODA OCTAVIA COMBI AUT.
oder ähnlich | Station wagon
inkl. unbegrenzt km
€85,49 | Tag"
9,"VW PASSAT
oder ähnlich | Sedan
inkl. unbegrenzt km
€86,48 | Tag","VW PASSAT
oder ähnlich | Sedan
inkl. unbegrenzt km
€86,48 | Tag"
10,"VW TOURAN
oder ähnlich | SUV
inkl. unbegrenzt km
€86,48 | Tag","VW TOURAN
oder ähnlich | SUV
inkl. unbegrenzt km
€86,48 | Tag"
11,"FORD MONDEO KOMBI
oder ähnlich | Station wagon
inkl. unbegrenzt km
€87,50 | Tag","FORD MONDEO KOMBI
oder ähnlich | Station wagon
inkl. unbegrenzt km
€87,50 | Tag"
12,"VW TIGUAN
oder ähnlich | SUV
inkl. 600 km
€89,50 | Tag","VW TIGUAN
oder ähnlich | SUV
inkl. 600 km
€89,50 | Tag"
13,"AUDI A3 LIMOUSINE
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€91,00 | Tag","AUDI A3 LIMOUSINE
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€91,00 | Tag"
14,"VW PASSAT AUT.
oder ähnlich | Sedan
inkl. unbegrenzt km
€92,50 | Tag","VW PASSAT AUT.
oder ähnlich | Sedan
inkl. unbegrenzt km
€92,50 | Tag"
15,"BMW 1ER AUT.
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€93,48 | Tag","BMW 1ER AUT.
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€93,48 | Tag"
16,"FORD S-MAX TURNIER
oder ähnlich | Station wagon
inkl. unbegrenzt km
€93,48 | Tag","FORD S-MAX TURNIER
oder ähnlich | Station wagon
inkl. unbegrenzt km
€93,48 | Tag"
17,"FORD MONDEO KOMBI AUT.
oder ähnlich | Station wagon
inkl. unbegrenzt km
€93,49 | Tag","FORD MONDEO KOMBI AUT.
oder ähnlich | Station wagon
inkl. unbegrenzt km
€93,49 | Tag"
18,"BMW 2ER COUPÉ
oder ähnlich | Premium Coupé
inkl. 600 km
€94,98 | Tag","BMW 2ER COUPÉ
oder ähnlich | Premium Coupé
inkl. 600 km
€94,98 | Tag"
19,"AUDI A4
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€95,49 | Tag","AUDI A4
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€95,49 | Tag"
20,"BMW X1
oder ähnlich | Premium SUV
inkl. 600 km
€96,49 | Tag","BMW X1
oder ähnlich | Premium SUV
inkl. 600 km
€96,49 | Tag"
21,"BMW 3ER TOURING
oder ähnlich | Premium Station wagon
inkl. unbegrenzt km
€97,49 | Tag","BMW 3ER TOURING
oder ähnlich | Premium Station wagon
inkl. unbegrenzt km
€97,49 | Tag"
22,"AUDI A4 AUT.
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€101,98 | Tag","AUDI A4 AUT.
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€101,98 | Tag"
23,"AUDI A4 AVANT AUT.
oder ähnlich | Premium Station wagon
inkl. unbegrenzt km
€104,49 | Tag","AUDI A4 AVANT AUT.
oder ähnlich | Premium Station wagon
inkl. unbegrenzt km
€104,49 | Tag"
24,"MERCEDES-BENZ E200/220 AUT.
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€112,50 | Tag","MERCEDES-BENZ E200/220 AUT.
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€112,50 | Tag"
25,"AUDI A5 40 COUPÉ/SPORTBACK
oder ähnlich | Premium Coupé
inkl. 600 km
€115,99 | Tag","AUDI A5 40 COUPÉ/SPORTBACK
oder ähnlich | Premium Coupé
inkl. 600 km
€115,99 | Tag"
26,"MERCEDES-BENZ E200/220 T-MODELL AUT.
oder ähnlich | Premium Station wagon
inkl. unbegrenzt km
€117,49 | Tag","MERCEDES-BENZ E200/220 T-MODELL AUT.
oder ähnlich | Premium Station wagon
inkl. unbegrenzt km
€117,49 | Tag"
27,"BMW X3 20
oder ähnlich | Premium SUV
inkl. 600 km
€119,49 | Tag","BMW X3 20
oder ähnlich | Premium SUV
inkl. 600 km
€119,49 | Tag"
28,"BMW M135I
oder ähnlich | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€124,48 | Tag","BMW M135I
oder ähnlich | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€124,48 | Tag"
29,"BMW 530/540 TOURING AUT.
oder ähnlich | Premium Station wagon
inkl. unbegrenzt km
€125,50 | Tag","BMW 530/540 TOURING AUT.
oder ähnlich | Premium Station wagon
inkl. unbegrenzt km
€125,50 | Tag"
30,"AUDI TTS COUPÉ
oder ähnlich | Premium Coupé
Sports & Luxury Car
inkl. 600 km
€129,48 | Tag","AUDI TTS COUPÉ
oder ähnlich | Premium Coupé
Sports & Luxury Car
inkl. 600 km
€129,48 | Tag"
31,"BMW 430/435 COUPÉ
oder ähnlich | Premium Coupé
inkl. 600 km
€132,48 | Tag","BMW 430/435 COUPÉ
oder ähnlich | Premium Coupé
inkl. 600 km
€132,48 | Tag"
32,"BMW M340 TOURING
Garantiertes Modell | Premium Station wagon
Sports & Luxury Car
inkl. 600 km
€133,99 | Tag","BMW M340 TOURING
Garantiertes Modell | Premium Station wagon
Sports & Luxury Car
inkl. 600 km
€133,99 | Tag"
33,"BMW X4 30
oder ähnlich | Premium SUV
Allradantrieb garantiert
inkl. 600 km
€137,98 | Tag","BMW X4 30
oder ähnlich | Premium SUV
Allradantrieb garantiert
inkl. 600 km
€137,98 | Tag"
34,"VW SHARAN
oder ähnlich | Multiseater 7
inkl. unbegrenzt km
€139,99 | Tag","VW SHARAN
oder ähnlich | Multiseater 7
inkl. unbegrenzt km
€139,99 | Tag"
35,"AUDI S5 SPORTBACK
Garantiertes Modell | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€150,98 | Tag","AUDI S5 SPORTBACK
Garantiertes Modell | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€150,98 | Tag"
36,"BMW M2 COUPÉ
Garantiertes Modell | Premium Coupé
Sports & Luxury Car
inkl. 600 km
€150,98 | Tag","BMW M2 COUPÉ
Garantiertes Modell | Premium Coupé
Sports & Luxury Car
inkl. 600 km
€150,98 | Tag"
37,"AUDI A6 45/50 AUT.
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€151,49 | Tag","AUDI A6 45/50 AUT.
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€151,49 | Tag"
38,"VW SHARAN AUT.
oder ähnlich | Multiseater 7
inkl. unbegrenzt km
€153,98 | Tag","VW SHARAN AUT.
oder ähnlich | Multiseater 7
inkl. unbegrenzt km
€153,98 | Tag"
39,"AUDI TTS CABRIO
oder ähnlich | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€159,49 | Tag","AUDI TTS CABRIO
oder ähnlich | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€159,49 | Tag"
40,"BMW M550 LIMOUSINE
Garantiertes Modell | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€163,99 | Tag","BMW M550 LIMOUSINE
Garantiertes Modell | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€163,99 | Tag"
41,"BMW M550D TOURING
Garantiertes Modell | Premium Station wagon
Sports & Luxury Car
inkl. 600 km
€163,99 | Tag","BMW M550D TOURING
Garantiertes Modell | Premium Station wagon
Sports & Luxury Car
inkl. 600 km
€163,99 | Tag"
42,"BMW M240 CABRIO
Garantiertes Modell | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€166,49 | Tag","BMW M240 CABRIO
Garantiertes Modell | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€166,49 | Tag"
43,"AUDI S6
Garantiertes Modell | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€168,49 | Tag","AUDI S6
Garantiertes Modell | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€168,49 | Tag"
44,"AUDI S6 AVANT
Garantiertes Modell | Premium Station wagon
Sports & Luxury Car
inkl. 600 km
€168,49 | Tag","AUDI S6 AVANT
Garantiertes Modell | Premium Station wagon
Sports & Luxury Car
inkl. 600 km
€168,49 | Tag"
45,"MERCEDES-AMG C63
Garantiertes Modell | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€174,99 | Tag","MERCEDES-AMG C63
Garantiertes Modell | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€174,99 | Tag"
46,"BMW M4 COUPÉ
Garantiertes Modell | Premium Coupé
Sports & Luxury Car
inkl. 600 km
€174,99 | Tag","BMW M4 COUPÉ
Garantiertes Modell | Premium Coupé
Sports & Luxury Car
inkl. 600 km
€174,99 | Tag"
47,"MERCEDES-BENZ S-KLASSE AUT.
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€187,48 | Tag","MERCEDES-BENZ S-KLASSE AUT.
oder ähnlich | Premium Sedan
inkl. unbegrenzt km
€187,48 | Tag"
48,"BMW X5
oder ähnlich | Premium SUV
Allradantrieb garantiert
inkl. 600 km
€189,49 | Tag","BMW X5
oder ähnlich | Premium SUV
Allradantrieb garantiert
inkl. 600 km
€189,49 | Tag"
49,"VW T6 KOMBI
oder ähnlich | Van
inkl. unbegrenzt km
€193,98 | Tag","VW T6 KOMBI
oder ähnlich | Van
inkl. unbegrenzt km
€193,98 | Tag"
50,"AUDI A7
oder ähnlich | Premium Coupé
inkl. 600 km
€203,00 | Tag","AUDI A7
oder ähnlich | Premium Coupé
inkl. 600 km
€203,00 | Tag"
51,"BMW X5M 50D
oder ähnlich | Premium SUV
Sports & Luxury Car
inkl. 600 km
€210,48 | Tag","BMW X5M 50D
oder ähnlich | Premium SUV
Sports & Luxury Car
inkl. 600 km
€210,48 | Tag"
52,"BMW I8
Garantiertes Modell | Premium Coupé
Sports & Luxury Car
inkl. 600 km
€210,48 | Tag","BMW I8
Garantiertes Modell | Premium Coupé
Sports & Luxury Car
inkl. 600 km
€210,48 | Tag"
53,"MERCEDES-BENZ VITO AUT.
oder ähnlich | Van
inkl. unbegrenzt km
€213,00 | Tag","MERCEDES-BENZ VITO AUT.
oder ähnlich | Van
inkl. unbegrenzt km
€213,00 | Tag"
54,"MERCEDES-BENZ V-KLASSE (8 SITZE)
Garantiertes Modell | Premium Multiseater 7
Sports & Luxury Car
inkl. 600 km
€214,49 | Tag","MERCEDES-BENZ V-KLASSE (8 SITZE)
Garantiertes Modell | Premium Multiseater 7
Sports & Luxury Car
inkl. 600 km
€214,49 | Tag"
55,"BMW X4M
oder ähnlich | Premium SUV
Sports & Luxury Car
inkl. 600 km
€215,48 | Tag","BMW X4M
oder ähnlich | Premium SUV
Sports & Luxury Car
inkl. 600 km
€215,48 | Tag"
56,"MERCEDES-AMG CLS53
Garantiertes Modell | Premium Coupé
Sports & Luxury Car
inkl. 600 km
€220,48 | Tag","MERCEDES-AMG CLS53
Garantiertes Modell | Premium Coupé
Sports & Luxury Car
inkl. 600 km
€220,48 | Tag"
57,"BMW M4 CABRIO
oder ähnlich | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€220,99 | Tag","BMW M4 CABRIO
oder ähnlich | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€220,99 | Tag"
58,"BMW I8 ROADSTER
Garantiertes Modell | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€225,49 | Tag","BMW I8 ROADSTER
Garantiertes Modell | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€225,49 | Tag"
59,"BMW X3M
oder ähnlich | Premium SUV
Sports & Luxury Car
inkl. 600 km
€226,48 | Tag","BMW X3M
oder ähnlich | Premium SUV
Sports & Luxury Car
inkl. 600 km
€226,48 | Tag"
60,"MERCEDES-AMG E63 T-MODELL
Garantiertes Modell | Premium Station wagon
Sports & Luxury Car
inkl. 600 km
€231,99 | Tag","MERCEDES-AMG E63 T-MODELL
Garantiertes Modell | Premium Station wagon
Sports & Luxury Car
inkl. 600 km
€231,99 | Tag"
61,"MERCEDES-BENZ GLS 350
oder ähnlich | Premium SUV
Sports & Luxury Car
inkl. 600 km
€240,49 | Tag","MERCEDES-BENZ GLS 350
oder ähnlich | Premium SUV
Sports & Luxury Car
inkl. 600 km
€240,49 | Tag"
62,"MERCEDES-BENZ S-KLASSE CABRIO
Garantiertes Modell | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€254,00 | Tag","MERCEDES-BENZ S-KLASSE CABRIO
Garantiertes Modell | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€254,00 | Tag"
63,"BMW M5
oder ähnlich | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€255,49 | Tag","BMW M5
oder ähnlich | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€255,49 | Tag"
64,"MERCEDES-AMG GLE 53
Garantiertes Modell | Premium SUV
Sports & Luxury Car
inkl. 600 km
€255,49 | Tag","MERCEDES-AMG GLE 53
Garantiertes Modell | Premium SUV
Sports & Luxury Car
inkl. 600 km
€255,49 | Tag"
65,"MERCEDES-AMG E53 CABRIO
Garantiertes Modell | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€255,49 | Tag","MERCEDES-AMG E53 CABRIO
Garantiertes Modell | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€255,49 | Tag"
66,"MERCEDES-BENZ S-CLASS L
oder ähnlich | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€256,49 | Tag","MERCEDES-BENZ S-CLASS L
oder ähnlich | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€256,49 | Tag"
67,"AUDI S8
Garantiertes Modell | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€256,49 | Tag","AUDI S8
Garantiertes Modell | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€256,49 | Tag"
68,"BMW X7 M50
oder ähnlich | Premium SUV
Sports & Luxury Car
inkl. 600 km
€266,48 | Tag","BMW X7 M50
oder ähnlich | Premium SUV
Sports & Luxury Car
inkl. 600 km
€266,48 | Tag"
69,"BMW M850 COUPÉ
oder ähnlich | Premium Coupé
Sports & Luxury Car
inkl. 600 km
€283,49 | Tag","BMW M850 COUPÉ
oder ähnlich | Premium Coupé
Sports & Luxury Car
inkl. 600 km
€283,49 | Tag"
70,"MERCEDES-BENZ S500 L
oder ähnlich | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€287,48 | Tag","MERCEDES-BENZ S500 L
oder ähnlich | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€287,48 | Tag"
71,"MERCEDES-AMG S63 L
oder ähnlich | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€302,49 | Tag","MERCEDES-AMG S63 L
oder ähnlich | Premium Sedan
Sports & Luxury Car
inkl. 600 km
€302,49 | Tag"
72,"MERCEDES-AMG GT S
Garantiertes Modell | Premium Coupé
Sports & Luxury Car
inkl. 600 km
€376,48 | Tag","MERCEDES-AMG GT S
Garantiertes Modell | Premium Coupé
Sports & Luxury Car
inkl. 600 km
€376,48 | Tag"
73,"MERCEDES-AMG GT S
oder ähnlich | Premium Coupé
Sports & Luxury Car
inkl. 600 km
€398,49 | Tag","MERCEDES-AMG GT S
oder ähnlich | Premium Coupé
Sports & Luxury Car
inkl. 600 km
€398,49 | Tag"
74,"MERCEDES-AMG S63 CABRIO
Garantiertes Modell | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€414,99 | Tag","MERCEDES-AMG S63 CABRIO
Garantiertes Modell | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€414,99 | Tag"
75,"BMW M850 CABRIO
Garantiertes Modell | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€414,99 | Tag","BMW M850 CABRIO
Garantiertes Modell | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€414,99 | Tag"
76,"MERCEDES-AMG GT C ROADSTER
Garantiertes Modell | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€432,49 | Tag","MERCEDES-AMG GT C ROADSTER
Garantiertes Modell | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€432,49 | Tag"
77,"BMW M8 CABRIO
oder ähnlich | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€450,49 | Tag","BMW M8 CABRIO
oder ähnlich | Premium Convertible
Sports & Luxury Car
inkl. 600 km
€450,49 | Tag"
